@relation SEA-Abrupt-01210-289-766-455

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 {0,1}

@data
7.271315,5.235888,1.77819,1
8.880737,4.55957,4.17365,1
1.383584,5.597355,4.896686,0
6.246745,0.87388,9.046227,0
8.249878,8.454906,2.117,1
1.113183,3.204968,6.992093,1
2.603838,0.37519,0.505533,0
9.096844,0.66391,5.198574,1
0.67064,0.541825,8.65277,0
9.906643,5.238929,2.665161,0
4.814912,0.599211,8.175305,0
7.028375,6.210123,7.621979,1
0.077302,6.13721,4.200379,0
0.783675,5.906974,1.280983,0
5.26075,9.185335,1.217992,0
2.09703,1.610319,0.351583,0
0.646079,9.594348,7.711804,1
2.39334,8.891313,8.312234,1
6.122677,4.561344,9.52322,1
2.179606,3.051789,7.952013,1
3.597644,2.031071,2.286774,0
0.956134,3.327321,0.131446,0
6.919961,3.0581,6.393006,0
2.085411,4.047447,2.532359,0
3.124241,7.932539,0.067213,1
6.083784,8.734124,4.276026,1
0.859584,6.122623,0.205173,0
0.748032,3.692708,2.05056,0
7.65944,5.732183,0.610565,1
5.3078,1.425677,8.551824,0
4.577169,0.728882,7.336268,0
7.637045,8.956109,1.650399,1
3.820723,8.754809,3.54867,1
8.263016,1.871018,5.182048,1
0.811749,8.832171,3.850311,1
3.995927,9.080187,3.973708,1
3.39633,5.994547,4.227791,1
5.62083,4.900643,9.109578,1
0.199974,3.006805,4.149895,1
6.396099,7.124902,4.728183,1
7.275274,1.219272,7.383573,1
6.58988,2.899846,2.346016,1
3.418348,4.128909,7.03966,0
3.403028,8.97358,7.123074,1
5.235395,2.442056,8.744507,0
9.558387,8.010158,7.292275,0
2.806483,7.390416,2.295572,1
2.691013,0.457504,0.581162,0
2.712997,9.501618,2.691327,1
4.148132,1.570524,0.56935,0
8.171317,7.665095,9.342322,1
5.875098,2.886307,5.955772,1
5.891738,2.960257,1.448408,1
1.709825,1.448377,9.930738,0
7.249526,9.190345,9.427524,1
0.465317,8.357885,0.5546,1
7.971698,4.076686,3.946885,1
7.347255,2.407341,3.611855,1
0.026738,1.765101,0.421663,0
0.411802,2.876833,3.790204,0
9.69025,0.65383,0.666209,1
4.873166,5.141047,9.606831,1
1.906243,0.422796,1.405644,0
7.651003,4.316385,1.233727,1
4.905338,3.088738,4.764527,0
2.078539,0.428114,8.563571,0
6.405719,9.219239,2.979651,1
2.196801,1.487848,6.453914,1
6.637299,0.816038,1.404367,0
0.298492,1.692709,4.323824,0
2.362326,4.913166,5.934042,0
2.589733,8.694718,7.542128,1
5.719745,7.303558,5.302576,1
2.276758,6.852379,9.057167,1
5.79828,9.027589,9.394956,1
9.666854,4.015658,5.758186,1
7.370244,1.134157,3.318958,1
8.4809,4.654834,3.747304,1
8.626789,7.992898,0.308197,1
3.738671,3.378936,3.163476,0
1.754365,2.002369,2.470068,0
2.716066,4.370414,8.985004,0
1.854821,9.349211,0.681812,1
1.942284,8.170672,6.43443,0
1.445502,5.491862,4.575551,0
2.662959,2.089593,9.33582,0
5.949015,6.431896,3.342133,1
1.180902,4.174631,6.939267,0
7.999573,9.168631,3.179562,1
6.186856,1.096157,6.454534,0
0.434693,2.512221,4.774273,0
8.042247,7.234073,9.039299,0
1.658749,2.528371,9.279564,0
3.444509,3.328041,7.719726,0
4.281405,0.995646,4.136264,0
3.038894,4.300738,9.740075,0
7.448058,1.417976,7.435702,1
1.455214,8.938841,5.473746,1
4.1826,5.104721,7.911408,1
4.794929,3.567345,3.222419,1
9.036065,1.042023,3.952584,1
4.833672,6.742156,1.634212,1
2.382279,0.977186,1.655988,0
0.111341,3.9863,5.800215,0
6.6443,1.428793,5.33485,1
7.52538,4.502574,1.634092,1
2.420172,9.931478,8.60813,1
5.781714,2.980807,5.402792,1
8.511029,5.356256,9.335217,1
2.423754,2.059286,6.802898,0
9.15209,1.61118,1.545024,1
8.228942,3.13291,3.678785,1
7.154508,7.257511,1.799662,1
1.982306,6.905848,9.969538,1
8.706523,1.679704,5.29734,1
6.644172,8.136245,4.317913,1
4.701317,9.925532,6.084461,1
9.728095,0.373485,4.970977,0
0.787916,6.028389,8.236946,0
0.185874,5.772891,8.071655,0
3.685929,8.038638,5.437698,1
3.649868,2.84677,0.132026,0
4.768928,9.135746,4.039504,1
5.274233,8.793802,3.767222,1
2.762419,7.676957,9.43876,0
1.531041,2.629078,0.290146,1
5.015764,9.825693,1.211413,1
9.126225,3.824219,2.380353,1
5.357994,1.657022,1.643823,1
8.536745,6.386366,0.423899,0
9.146363,7.614165,0.790384,1
1.546016,7.992413,8.203807,1
5.600996,2.812642,6.905372,1
5.98956,2.543696,2.365883,1
6.654775,1.674466,4.674158,1
7.726865,1.236696,9.616225,1
1.437822,1.472553,3.369329,0
5.171822,7.553877,1.364608,1
0.933822,1.648851,1.542967,0
7.280795,4.48795,7.107817,1
7.85968,6.039494,9.58514,1
6.866102,2.476052,1.387064,1
0.980956,5.050228,5.290429,0
9.81407,6.083767,6.410948,1
7.320234,1.054757,8.861444,1
2.484463,3.39948,2.909221,0
